话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
https://m.weibo.cn/detail/4786175380293547,#合肥 疫情防控# 合肥疫情防控过度被批才几天，现在又开始大批赋黄码，连续做了两三天的核酸，结果昨天给我弹窗警告，申诉完解除了，今天又给我赋黄码，说是大数据追踪的，那你怎么不自动追溯我的核酸记录啊？？？？？纯纯无语 ,7417825765,喜欢漂亮美眉有错吗,m,2022/06/30,21:43:16,0,0,4, , , , , , 
https://m.weibo.cn/detail/4786175061264282,#疫情防控# 【官方测评30款口罩！医生：#只有5种口罩能有效防疫# 】#成华服务台# 疫情之下，「口罩」早已成为人们出门的必需品。比起常见的医用口罩，图案色彩选择更多的“花式口罩”越来越受到青睐，这些口罩是否具有防疫功能？你每天戴的口罩符合防疫标准吗（生命时报）官方测评30款口罩！医生：只有5种口罩能有效防疫 ,1748991991,成华发布,f,2022/06/30,21:42:00,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786167931212242,固镇县常规核酸检测发现1人核酸检测异常。#疫情防控# 蚌埠 怀远维胜的微博视频 ,6311058690,怀远维胜,m,2022/06/30,21:13:40,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786167231288503,经典款#疫情防控# 条幅 ,2178958353,向北Ning,m,2022/06/30,21:10:53,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786164945128404,昨夜似乎半夜下大雨了，后来收到天气预报说，台风“暹芭”临近，有强降雨伴强风，注意防范。还好，没有在大雨中测核酸，因为一早雨停了，只是间或下了阵雨。继续，电商小白系列（八）——学直播2：有了开始，接下来会更自然顺畅些，边播也边录下了一些片断，发现眼睛眨巴得太厉害，快速的闪，如果评直播眼睛闪动的的速度和频率，估计阿袁同学能进前十强吧？是太紧张？还是不熟悉？还是眼前灯光的原因？后来看到有其他人发出来的视频，眼睛也一直眨啊眨的哈......# 心情日记[超话]#原创社会心情身心灵#深圳#深圳疫情#疫情防控#理想与现实职场#真实生活#征婚交友随笔记录生活感悟生活感情情感电商电商人创业,1408769835,深圳阿袁同学,f,2022/06/30,21:01:48,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786163627594367,#疫情防控# 180天就这样过去了，基本上是居家，居家，居家，甚至还有很多人还足不出户。但疫情总会过去，太阳总会升起，坚信明天会更好。 ,2414618667,银龄书院,f,2022/06/30,20:56:34,1,0,2, , , , , , 
https://m.weibo.cn/detail/4786162491200388,#丹东疫情#   #疫情防控# 我寻思动态清零不是为了保护老人小孩吗？怎么93岁看病拿药这么费劲？治安管理处罚法不是说70岁以上不能行政拘留吗？为什么带走还打一顿？,7710014318,哲学堡藏社,m,2022/06/30,20:52:03,11266,3224,62171, , , , , , 
https://m.weibo.cn/detail/4786158310261338,【防控政策逐步宽松，哪些行业迎来投资机会？（附表）】只有人员流动起来，经济才能活起来，本周疫情防控政策不断调整，防控政策正在朝有利于经济复苏的方向转变：（1）苏州市民进入公共场所、乘坐公共交通，不再查验核酸结果；（2）进入海南的低风险区游客已不用接受集中隔离；（3）上海迪士尼6月30日恢复运营；（4）前天发布第九版新冠肺炎防控方案，入境从14+7调整为7+3；（5）昨天的取消行程卡“星号”标记。（6）上海市电影放映场所将于7月8日起有序恢复开放。根据历史经验和安信证券研报，当前稳增长下复工复产/疫后修复链投资机遇梳理：#投资# #疫情防控 # #股票#,7515887975,财经陈小财,m,2022/06/30,20:35:25,1,0,2, , , , , , 
https://m.weibo.cn/detail/4786151891667886,#疫情防控##宝鸡身边事##陕西##陕西省宝鸡市过度防疫一刀切# @宝鸡发布 @陕西发布 宝鸡市说严格按照省上政策执行。省上说朝阳区没有中高风险地区不需要任何隔离措，宝鸡市说不行要隔离，请问你按照哪个省严格执行的 Vivi_夏暖暖的微博视频 ,3754202825,Vivi_夏暖暖,f,2022/06/30,20:09:56,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786145885686601,#疫情防控# 【四川疾控健康提示（2022年6月30日19时）】成都市的核酸检测点可通过高德地图首页搜索栏中搜索“核酸检测”查询，并实现一键导航。四川省疫情防控重点地区提示表请查看以下链接：网页链接（四川疾控） ,3309826382,健康成都官微,f,2022/06/30,19:46:04,0,13,8, , , , , , 
https://m.weibo.cn/detail/4786142874440967,萌娃做核酸妈妈变“阿姨”#疫情防控 # 爆笑大橙子的微博视频 ,7727840918,爆笑大橙子,f,2022/06/30,19:34:06,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786131445481722,深圳防疫政策有变！北京、上海来深实行“3天2检” ↓↓↓#疫情防控# （深圳卫健委）,1048717800,深圳侨报,m,2022/06/30,18:48:40,2,2,0, , , , , , 
https://m.weibo.cn/detail/4786130447242065,#见闻# ，#亦庄新城# ，#疫情防控# ，#北京经开区# #正能量#,2400410434,马驹桥见闻,m,2022/06/30,18:44:43,1,0,0, , , , , , 
https://m.weibo.cn/detail/4786126823621049,发布了头条文章：#河南交通# #河南交通动态# 《【河南交通】厅执法局多措并举推进道路运输打非治违专项行动》 #打非治违专项行动# #疫情防控#  【河南交通】厅执法局多措并举推进道路运输打非治违专项行动 ,3993220194,河南交通,m,2022/06/30,18:30:18,1,0,2, , , , , , 
https://m.weibo.cn/detail/4786126289635331,求求了，疫情不要再扩散了，不想好不容易拿的假又砸手里🙏🙏🙏🙏#疫情防控##疫情快走开# ,5012777569,一只HUIHUI_,f,2022/06/30,18:28:12,0,2,0, , , , , , 
https://m.weibo.cn/detail/4786125987647015,#疫情防控# 夏季防疫，这份科普知识请收好！ ,1918553820,健康龙泉驿,m,2022/06/30,18:27:00,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786124730665846,#疫情防控# 【7+3！防控措施调整】6月29日，珠海市新型冠状病毒肺炎疫情防控指挥部发布通告，调整自澳门入境人员健康管理措施。7+3！防控措施调整 ,3772731587,斗门发布,m,2022/06/30,18:22:00,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786122976138321,#疫情防控# #核酸检测#,2611415613,鹿素珍,f,2022/06/30,18:15:02,28,31,147, , , , , , 
https://m.weibo.cn/detail/4786122385525201,#疫情防控#【关于丰台区市场防疫领域6家企业未按要求履行防控主体责任的通报】近期，丰台区市场防疫工作组在检查中发现有部分市场主体疫情防控措施落实不严，主要是“员工测温记录不完整”“扫码测温落实不到位”等问题，现将名单通报如下↓ #齐心协力 同心抗疫##北京城市服务台# ,2590506142,北京丰台,m,2022/06/30,18:12:41,1,0,1, , , , , , 
https://m.weibo.cn/detail/4786115787103271,#疫情防控#,6680199979,CAL_clamer,f,2022/06/30,17:46:28,133,136,772, , , , , , 
https://m.weibo.cn/detail/4786112884644078,#吴尊友称取消星号不为过度防疫提供借口#          工信部6月29日下午宣布，取消通信行程卡的“星号”标记，以支撑高效统筹疫情防控和经济社会发展、方便广大用户出行。        30日，吴尊友发文称，取消“星号”标记，对于促进人员流动、活跃经济发展，将起到积极推动作用。取消“星号”标记，有利于《新型冠状病毒肺炎防控方案（第九版）》主要措施的落实。取消“星号”标记，也不再为那些可能出现的过度防疫，甚至让防疫“压倒一切”的做法，提供任何借口。#疫情防控##关注新冠肺炎#,1888415301,策划人毛庆海,m,2022/06/30,17:34:56,0,3,0, , , , , , 
https://m.weibo.cn/detail/4786111341397706,#抗战疫情# 安徽省，宿州市，泗县希望这次能疫情快点过去，加油  加油  加油#疫情防控##同心携手共抗疫情# Brave欢欢的微博视频 ,6322943865,Brave欢欢,f,2022/06/30,17:28:48,0,0,2, , , , , , 
https://m.weibo.cn/detail/4786107893942225,#疫情防控# 【刚刚，昆明市发布关于实施常态化疫情防控措施的通告】网页链接 ,3844904708,昆明寻甸发布,f,2022/06/30,17:15:05,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786106358304130,#疫情防控# 6月29日新冠肺炎疫情情况@健康成都官微 ,6164179248,温江发布,m,2022/06/30,17:09:00,0,2,1, , , , , , 
https://m.weibo.cn/detail/4786102440824988,#不文明现象随手拍##疫情防控# 就连做核酸排队都建议少说话，这2个“老年卡”把公交车当成了会客厅，从上车开始直到下车一直在喋喋不休，尤其红衣服这位，手舞足蹈，来回扭动身体，就算戴了口罩，这吐沫星子也没挡住多少吧？ ,2406334312,天下牦牛,m,2022/06/30,16:53:26,1,1,0, , , , , , 
https://m.weibo.cn/detail/4785980601534890,上海#观复博物馆# 7月1日开馆#疫情防控# 期间，参观上海#观复博物馆# 须实名制预约购票+绿色健康码+72小时以内核酸阴性证明+全程正确佩戴口罩，具体参观攻略请关注#观复博物馆# 官方微信公众号。我们在上海之巔静待与您久别重逢后的相约 上海,2095999263,观复博物馆,m,2022/06/30,08:49:17,5,4,19, , , , , , 
https://m.weibo.cn/detail/4786092571888485,#丹东90岁老人受辱上吊致死# 活了90 多岁被辱耍流氓！他还能耍流氓么？这老爷爷是活活被气死的！受辱致死！这辈子也没这样被践踏过尊严吧！@媒体人张晓磊 @媒体人石良 @媒体人焦永锋 #疫情防控# #丹东疫情# #今日说法# 病毒没有害死丹东一个人！疫情无情人有情！这到底是一个什么社会？,5052246161,顏可可丶,f,2022/06/30,16:14:13,30,2,35, , , , , , 
https://m.weibo.cn/detail/4785814325959410,【关于调整入境人员健康管理服务措施的通知】各区、县（市）疫情防控指挥部，市指挥部各专项工作组：　　为科学做好入境人员疫情防控健康管理工作，根据国务院联防联控机制综合组《关于印发新型冠状病毒肺炎防控方案（第九版）的通知》（联防联控机制综发〔2022〕71号）要求，经市疫情防控指挥部同意，现就调整入境人员健康管理服务措施的有关要求通知如下：　　一、从6月28日起，对从我市入境人员实施“7天集中隔离医学观察+3天居家健康监测”管理措施，在集中隔离观察的第1、2、3、5、7天各开展一次核酸检测，在居家健康监测的第3天，由社区组织上门开展一次核酸检测。　　二、对目前在管入境人员实施分类管理措施。具体如下：　　（一）对从我市入境且已实施集中隔离时间不满7天的人员，从入境日期开始计算补满“7天集中隔离医学观察+3天居家健康监测”管理措施。　　（二）对从我市入境、已实施集中隔离时间超过7天但不满10天的人员，立即做一次核酸检测，结果阴性后解除集中隔离，补足“3天居家健康监测”管理措施。　　（三）对从我市入境且当前集中隔离时间已满10天的人员，立即做一次核酸检测，结果阴性后解除集中隔离，无需实施居家健康监测。　　（四）对在其他城市入境且在当地完成10天以上隔离管理措施的在管人员，立即做一次核酸检测，结果阴性后解除健康管理；已满7天集中隔离但不足10天的人员，补足“3天居家健康监测”管理措施。　　（五）对从我市入境且目的地为外地，已完成7天集中隔离的人员，解除集中隔离前，应通过联防联控机制及时将入境人员相关信息推送至目的地，做好信息共享。沈阳市新冠肺炎疫情防控指挥部综合协调组2022年6月29日 #疫情防控 沈阳在行动# #沈阳疫情#,2760402625,沈阳发布,m,2022/06/29,21:48:34,19,59,156, , , , , , 
https://m.weibo.cn/detail/4786100880806299,#辽宁# #丹东市公安局# #疫情防控#,5599854011,大大大大大大吴美,f,2022/06/30,16:47:14,846,238,3184, , , , , , 
https://m.weibo.cn/detail/4786095847376090,#疫情防控#丨密接、入境人员隔离管控时间调为“7+3”，成立整治“层层加码”问题专班开通留言板……最新情况通报！疫情防控丨密接、入境人员隔离管控时间调为“7+3”，成立整治“层层加码”问题专班开通留言板……最新情况通报！ ,6918001165,护国关注,m,2022/06/30,16:27:14,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786095286389166,#城市追击-香港# #香港# 【#回顾卫生科成果 陈肇始称有信心医护坚持下抗疫成功#】食物及卫生局局长陈肇始即将卸任，她今日（30日）发表网志，分享卫生科在过去5年所推进的工作，包括领导抗疫、发展基层医疗健康、推进控烟策略等等。陈肇始表示，政府一直坚守「外防输入、内防反弹」策略，全力做好「减少死亡、减少重症、减少感染」的工作，推动市民接种合适剂量的疫苗。她指出，过去两年半，局方为对抗疫情，推行了不少措施，包括实施「指定检疫酒店计划」，规定海外抵港人士必须在闭环管理下接受强制检疫；社区检测方面，政府采取愿检尽检，应检尽检策略的同时，亦加强各项防疫物资的派发，并安排多项检疫隔离设施，以加强社会防护屏障。陈肇始指，除抗疫工作外，当局亦努力推进各项医疗卫生的政策措施，确保香港的医疗制度的可持续发展，以及市民健康得到最佳保障。当中包括发展基层医疗健康，在全港多个地区设立康健中心或康健站；加强控烟策略，令香港吸烟人士比率创历史新低等。此外，政府一直亦采取多管齐下的措施增加医疗人手，包括让合资格非本地培训医生可来港执业、医管局推展两个10年建院计划等等。陈肇始说，过去5年，有一半以上的时间，食卫局的同事都坚守岗位，成功应对每一波的疫情，并指香港面对人口老化和医护人手不足等问题，未来医务卫生局的工作充满挑战，有信心在各部门及医护人员的坚持和热诚，必定打胜这场抗疫战，让香港尽快复常。最后，她又祝福候任医务卫生局局长卢宠茂及其团队工作顺利。#守护香港# #疫情防控#,7298488441,城市追擊傳媒,f,2022/06/30,16:25:00,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786088646280584,刚刚，靖江疫情防控办发布重要提醒！#泰州##疫情防控##紧急# 泰州许晓峰的微博视频 ,2930621395,泰州许晓峰,m,2022/06/30,15:58:37,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786087736640543,#温馨提示# 【重大调整！最新版新冠防控方案发布】#疫情防控# 　为进一步指导各地科学精准做好新型冠状病毒肺炎防控工作，在认真总结《新型冠状病毒肺炎防控方案（第八版）》印发后的防控工作实践，特别是针对奥密克戎变异株传播速度快、隐匿性强等特点的基础上，国务院应对新型冠状病毒肺炎疫情联防联控机制综合组组织修订形成了《新型冠状病毒肺炎防控方案（第九版）》，全面落实“外防输入、内防反弹”总策略和“动态清零”总方针，切实维护人民群众生命安全和身体健康，最大限度统筹疫情防控和经济社会发展。主要修订内容如下：一、优化调整风险人员的隔离管理期限和方式　　将密切接触者、入境人员隔离管控时间从“14天集中隔离医学观察+7天居家健康监测”调整为“7天集中隔离医学观察+3天居家健康监测”，核酸检测措施从“集中隔离医学观察第1、4、7、14天核酸检测，采集鼻咽拭子，解除隔离前双采双检”调整为“集中隔离医学观察第1、2、3、5、7天和居家健康监测第3天核酸检测，采集口咽拭子”，解除集中隔离医学观察前不要求双采双检。密接的密接管控措施从“7天集中隔离医学观察”调整为“7天居家隔离医学观察”，第1、4、7天核酸检测。二、统一封管控区和中高风险区划定标准　　将两类风险区域划定标准和防控措施进行衔接对应，统一使用中高风险区的概念，形成新的风险区域划定及管控方案。高风险区实行“足不出户、上门服务”，连续7天无新增感染者降为中风险区，中风险区连续3天无新增感染者降为低风险区。其他地区对近7天内有高风险区旅居史人员，采取7天集中隔离医学观察措施。中风险区实行“足不出区、错峰取物”，连续7天无新增感染者降为低风险区。其他地区对近7天内有中风险区旅居史人员，采取7天居家医学观察措施。低风险区指中、高风险区所在县（市、区、旗）的其他地区，实行“个人防护、避免聚集”。其他地区对近7天内有低风险区旅居史人员，要求3天内完成2次核酸检测。三、完善疫情监测要求　　加密风险职业人群核酸检测频次，将与入境人员、物品、环境直接接触的人员核酸检测调整为每天1次，对人员密集、接触人员频繁、流动性强的从业人员核酸检测调整为每周2次。增加抗原检测作为疫情监测的补充手段，基层医疗卫生机构对可疑患者、疫情处置时对中高风险区人员等可增加抗原检测。四、优化区域核酸检测策略　　明确不同人口规模区域核酸检测方案，针对省会城市和千万级人口以上城市、一般城市、农村地区，综合疫情发生后感染来源是否明确、是否存在社区传播风险及传播链是否清晰等因素进行研判，根据风险大小，按照分级分类的原则，确定区域核酸检测的范围和频次。（人民日报）,3216505712,利辛发布,f,2022/06/30,15:55:00,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786086528421568,#疫情防控# 【通信行程卡“星号”标记，即日起取消！】为坚决落实党中央、国务院关于“外防输入、内防反弹”总策略和“动态清零”总方针，支撑高效统筹疫情防控和经济社会发展，方便广大用户出行，即日起取消通信行程卡“星号”标记。@人民日报 通信行程卡“星号”标记，即日起取消！ ,3840904562,昆明官渡发布,f,2022/06/30,15:50:12,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786086201000272,#合肥 疫情防控# 花了钱的核酸报告出的就是快 ,5135914665,Tang-有幸雨见,f,2022/06/30,15:48:53,0,2,1, , , , , , 
https://m.weibo.cn/detail/4786074923041787,#疫情防控# 【天天戴口罩，你真的做对了吗？】 ,2815932080,仙桃发布,f,2022/06/30,15:04:05,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786074545554084,#疫情防控# 收藏！花山区重点人群常态化核酸采样点公布！ ,2839075354,花山发布,m,2022/06/30,15:02:35,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786073961499773,【#吴尊友发文解读行程卡星号取消#：#不为可能出现的过度防疫提供任何借口#】@吴尊友ChinaCDC 表示：取消“星号”标记，对于促进人员流动、活跃经济发展，将起到积极推动作用，有利于《新型冠状病毒肺炎防控方案（第九版）》主要措施的落实，也不再为那些可能出现的过度防疫，甚至让防疫“压倒一切”的做法，提供任何借口。新措施的出台，既不是新冠防控措施的放松，也不意味着动态清零政策的放弃，更不意味着中国将要走西方国家新冠防控所谓的“躺平”路线。#疫情防控# 吴尊友解读行程卡取消星号,1132428807,四川工人日报,m,2022/06/30,15:00:16,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786073853495569,#疫情防控# 摘星了摘星了！一张图告诉你：是哪个区的？去哪不用隔离。@北京人应该知道的北京事 ,7762378374,胡同儿里的硬瓷,f,2022/06/30,14:59:50,0,2,1, , , , , , 
https://m.weibo.cn/detail/4786068010305782,#疫情防控#上海能去常州了吗还要隔离吗。打电话打不通 ,5409307860,邢小佧和邢大米几岁了,f,2022/06/30,14:36:37,0,8,0, , , , , , 
https://m.weibo.cn/detail/4786066857394443,发布了头条文章：《乡镇创新疫情防控工作方法》 #疫情防控# #工作方法#  乡镇创新疫情防控工作方法 ,3219767045,Baldwinse,f,2022/06/30,14:32:01,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786060654283484,#台湾疫情##上海疫情##疫情##疫情防控# 6.30更新。 ,5530038434,羽扇家,m,2022/06/30,14:07:23,1,0,1, , , , , , 
https://m.weibo.cn/detail/4786052675929093,DJ引领疫情防控信息材料 #疫情防控# ,7770159139,懒人写作技巧,f,2022/06/30,13:35:41,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786047017553184,#无锡疫情#无锡和常州封路了嘛？？？求问#疫情防控##无锡疫情防控# ,6649573038,吃饱还能在吃两口,f,2022/06/30,13:13:12,0,20,5, , , , , , 
https://m.weibo.cn/detail/4786044027273412,#疫情防控##陕西##宝鸡身边事# @央视新闻 @陕西发布 @宝鸡发布 听说陕西省宝鸡市不归中国管？中央发布的防疫政策和宝鸡没关系？低风险地区反宝也得7天居家隔离？我不理解 ,3754202825,Vivi_夏暖暖,f,2022/06/30,13:01:18,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786044027273412,#疫情防控##陕西##宝鸡身边事# @央视新闻 @陕西发布 @宝鸡发布 听说陕西省宝鸡市不归中国管？中央发布的防疫政策和宝鸡没关系？低风险地区反宝也得7天居家隔离？我不理解 ,3754202825,Vivi_夏暖暖,f,2022/06/30,13:01:18,0,0,1, , , , , , 
https://m.weibo.cn/detail/4786043054198802,别啊 国外都集体抗疫 养蛊了 谁知道会不会出现什么更可怕的病毒！ 我觉得应该60+60！ 你家里没老人小孩吗！#疫情防控# ,5934603581,别叫我带你飞翔,m,2022/06/30,12:57:27,0,0,0, , , , , , 
https://m.weibo.cn/detail/4786042513391800,#疫情防控# 摘星第一站，呼和浩特摘星不等自由放卫星，在呼市出站，要现场做核酸，出示48小时核酸证明，不用隔离。民众能正常流动，复工复产，精准防控，不一刀切，才是硬道理。 呼和浩特·呼和浩特东站 ,1898794791,赵正彬_职务犯罪辩护律师,m,2022/06/30,12:55:17,0,3,0, , , , , , 
https://m.weibo.cn/detail/4786040718755396,#疫情防控#【疾控中心疫情防控健康提醒】近期，国内多地出现新冠肺炎本土确诊病例和无症状感染者，防控形势严峻复杂。为切实做好疫情防控工作，保障广大市民身体健康，威海市疾病预防控制中心提醒： ,3886230775,环翠发布,m,2022/06/30,12:48:09,2,2,1, , , , , , 
